asset_id,site_id,asset_type,manufacturer,model_number,install_date,rated_capacity_kw,asset_status,criticality,_bronze_loaded_at_utc,_source_file
AST000168,SITE0020,Transformer,GridWorks,MDL-489,2018-07-14,2433.70,Active,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000169,SITE0020,Feeder,AeroFlux,MDL-255,2022-03-27,2822.52,active ,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000170,SITE0020,feeder,VoltEdge,MDL-847,06/13/2022,1185.04,Maintenance,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000171,SITE0020,Transformer,HelioTech,MDL-380,2020-06-13,2646.38,Standby,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000172,SITE0020,Transformer,HelioTech,MDL-192,12/08/2016,2163.77,Maintenance,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000173,SITE0021,Feeder,AeroFlux,MDL-268,11/09/2021,809.00,Retired,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000174,SITE0021,Feeder,EcoDyn,MDL-846,2021-05-27,1136.98,active ,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000175,SITE0021,Transformer,EcoDyn,MDL-816,05/21/2015,3275.31,active ,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000176,SITE0021,Feeder,EcoDyn,MDL-966,2018-10-31,1405.75,Standby,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000177,SITE0021,Transformer,NovaPower,MDL-324,09/27/2018,1201.63,Maintenance,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000178,SITE0021,Feeder,NovaPower,MDL-767,2025-10-12,896.70,Retired,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000179,SITE0021,Feeder,AeroFlux,MDL-732,05/13/2021,740.39,Active,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000180,SITE0021,Feeder,EcoDyn,MDL-583,2015-07-11,1667.75,active ,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000181,SITE0021,Transformer,GridWorks,MDL-448,11/05/2025,1138.50,Standby,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000182,SITE0021,Transformer,VoltEdge,MDL-666,01/30/2020,3010.60,active ,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000183,SITE0022,Solar Inverter,HelioTech,MDL-655,04/22/2025,2844.58,Retired,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000184,SITE0022,Solar Inverter,EcoDyn,MDL-633,2022-07-17,733.28,active ,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000185,SITE0022,Solar Inverter,EcoDyn,MDL-568,07/30/2019,3473.22,Standby,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000186,SITE0022,Solar Inverter,VoltEdge,MDL-621,04/10/2021,2019.10,Standby,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000187,SITE0022,Solar Inverter,NovaPower,MDL-889,2022-06-24,742.89,Standby,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000188,SITE0022,Solar Inverter,EcoDyn,MDL-747,09/08/2018,294.41,Maintenance,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000189,SITE0022,Solar Inverter,AeroFlux,MDL-221,06/12/2018,3091.20,Retired,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000190,SITE0022,Solar Inverter,HelioTech,MDL-595,2021-06-02,264.18,active ,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000191,SITE0023,Battery Rack,GridWorks,MDL-762,2015-06-24,1473.80,Retired,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000192,SITE0023,Battery Rack,EcoDyn,MDL-833,05/08/2020,518.24,active ,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000193,SITE0023,Battery Rack,GridWorks,MDL-283,01/05/2016,1737.95,active ,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000194,SITE0023,Battery Rack,GridWorks,MDL-414,07/22/2023,934.45,Retired,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000195,SITE0023,Battery Rack,NovaPower,MDL-103,02/10/2021,1395.80,Maintenance,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000196,SITE0023,Battery Rack,HelioTech,MDL-125,09/27/2025,906.00,Active,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000197,SITE0023,Battery Rack,EcoDyn,MDL-733,2017-01-31,2823.10,active ,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000198,SITE0024,Solar Inverter,AeroFlux,MDL-931,05/16/2016,3336.61,Standby,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000199,SITE0024,Solar Inverter,EcoDyn,MDL-247,06/26/2020,3074.75,active ,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000200,SITE0024,Solar Inverter,HelioTech,MDL-915,2023-09-06,1694.11,Maintenance,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000201,SITE0024,Solar Inverter,EcoDyn,MDL-921,2021-03-31,2558.30,Retired,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000202,SITE0024,Solar Inverter,GridWorks,MDL-462,03/19/2017,1319.83,Maintenance,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000203,SITE0024,Solar Inverter,HelioTech,MDL-478,02/01/2019,1058.23,Retired,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000204,SITE0024,Solar Inverter,AeroFlux,MDL-474,03/18/2022,1612.31,Standby,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000205,SITE0024,Solar Inverter,NovaPower,MDL-754,10/25/2024,1663.85,Maintenance,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000206,SITE0025,Battery Rack,GridWorks,MDL-455,2020-01-19,2464.05,Active,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000207,SITE0025,Battery Rack,VoltEdge,MDL-162,01/01/2015,3029.41,Maintenance,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000208,SITE0025,Battery Rack,HelioTech,MDL-621,04/24/2019,2678.54,Active,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000209,SITE0025,Battery Rack,NovaPower,MDL-964,2017-06-13,2395.15,active ,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000210,SITE0025,Battery Rack,GridWorks,MDL-511,2019-12-31,1149.80,Standby,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000211,SITE0025,Battery Rack,AeroFlux,MDL-664,03/16/2022,2734.81,Active,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000212,SITE0025,Battery Rack,NovaPower,MDL-958,02/22/2021,1769.49,active ,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000213,SITE0026,Transformer,GridWorks,MDL-547,2021-03-20,1519.99,Maintenance,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000214,SITE0026,Transformer,GridWorks,MDL-335,11/02/2020,1108.59,Maintenance,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000215,SITE0026,Transformer,EcoDyn,MDL-592,09/20/2022,884.76,active ,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000216,SITE0026,Transformer,AeroFlux,MDL-979,2022-07-06,241.48,Maintenance,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000217,SITE0026,Feeder,HelioTech,MDL-115,2016-11-02,3127.50,Maintenance,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000218,SITE0026,Transformer,HelioTech,MDL-870,2017-04-09,718.23,Standby,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000219,SITE0026,Feeder,HelioTech,MDL-444,03/25/2025,1171.84,active ,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000220,SITE0026,Feeder,NovaPower,MDL-138,03/11/2019,1236.69,Maintenance,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000221,SITE0026,Transformer,HelioTech,MDL-652,10/05/2022,682.61,Standby,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000222,SITE0026,Feeder,NovaPower,MDL-757,08/20/2019,375.29,Standby,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000223,SITE0027,transformer,NovaPower,MDL-673,07/30/2024,258.42,active ,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000224,SITE0027,Feeder,EcoDyn,MDL-515,2025-08-01,3285.90,Active,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000225,SITE0027,Transformer,VoltEdge,MDL-642,2019-03-29,1275.70,Retired,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000226,SITE0027,Transformer,AeroFlux,MDL-344,2015-10-27,209.30,active ,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000227,SITE0027,Feeder,HelioTech,MDL-828,09/13/2017,2814.19,Active,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000228,SITE0027,Transformer,NovaPower,MDL-462,03/21/2017,1835.24,Retired,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000229,SITE0027,Feeder,VoltEdge,MDL-853,12/13/2020,3069.52,Standby,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000230,SITE0027,Transformer,VoltEdge,MDL-570,2025-10-20,2090.97,Maintenance,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000231,SITE0027,Feeder,HelioTech,MDL-725,07/02/2015,3254.60,active ,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000232,SITE0027,Feeder,NovaPower,MDL-667,08/01/2019,1615.06,Maintenance,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000233,SITE0028,Solar Inverter,VoltEdge,MDL-180,2019-08-21,805.64,Active,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000234,SITE0028,Solar Inverter,NovaPower,MDL-263,11/17/2025,3465.79,Maintenance,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000235,SITE0028,Solar Inverter,NovaPower,MDL-141,2024-07-29,1930.73,active ,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000236,SITE0028,Solar Inverter,HelioTech,MDL-403,2015-06-19,472.14,Active,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000237,SITE0028,Solar Inverter,AeroFlux,MDL-603,2022-04-25,2223.40,Active,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000238,SITE0028,Solar Inverter,NovaPower,MDL-183,06/21/2016,2956.48,Retired,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000239,SITE0028,Solar Inverter,VoltEdge,MDL-941,2020-05-26,1022.41,Standby,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000240,SITE0028,Solar Inverter,HelioTech,MDL-936,2015-07-07,596.52,Maintenance,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000241,SITE0029,Solar Inverter,VoltEdge,MDL-480,12/23/2023,522.12,Standby,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000242,SITE0029,Solar Inverter,AeroFlux,MDL-189,01/14/2021,2412.32,Retired,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000243,SITE0029,Solar Inverter,GridWorks,MDL-742,11/18/2016,1891.65,Retired,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000244,SITE0029,Solar Inverter,EcoDyn,MDL-709,10/04/2015,1637.17,Maintenance,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000245,SITE0029,Solar Inverter,EcoDyn,MDL-359,2024-04-05,1345.06,active ,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000246,SITE_BAD,Solar Inverter,NovaPower,MDL-743,02/04/2018,179.82,Maintenance,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000247,SITE0029,Solar Inverter,HelioTech,MDL-609,2019-04-13,782.01,Maintenance,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000248,SITE0029,Solar Inverter,VoltEdge,MDL-295,2025-05-16,3348.88,active ,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000249,SITE0030,Wind Turbine,EcoDyn,MDL-422,01/30/2015,367.45,Maintenance,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000250,SITE0030,Wind Turbine,EcoDyn,MDL-397,2021-11-08,328.67,Maintenance,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000251,SITE0030,Wind Turbine,EcoDyn,MDL-719,11/30/2018,2927.10,Maintenance,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000252,SITE0030,Wind Turbine,EcoDyn,MDL-355,11/25/2024,1604.64,Maintenance,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000253,SITE0030,Wind Turbine,GridWorks,MDL-369,09/12/2021,3253.63,Standby,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000254,SITE0030,Wind Turbine,VoltEdge,MDL-594,04/18/2024,1681.19,Standby,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000255,SITE0030,Wind Turbine,AeroFlux,MDL-966,2019-09-27,2241.89,Active,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000256,SITE0030,Wind Turbine,NovaPower,MDL-854,02/07/2015,3337.96,Standby,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
